firstName,lastName,email,phone,maxCompanions
Juan,Perez,juan.perez@example.com,5551234567,2
Maria,Garcia,maria.garcia@example.com,5559876543,1
Carlos,Lopez,carlos.lopez@example.com,5555555555,3
Ana,Martinez,ana.martinez@example.com,5552345678,0
Pedro,Rodriguez,pedro.rodriguez@example.com,5558765432,2
Laura,Fernandez,laura.fernandez@example.com,5553456789,1
Diego,Gonzalez,diego.gonzalez@example.com,5557654321,4
Sofia,Ramirez,,5554567890,1
Miguel,Torres,miguel.torres@example.com,,2
Carmen,Flores,carmen.flores@example.com,5556543210,0
